field_name	source_origin	field_category	candidate_bucket	feature_set_v1_decision	decision_rule	reason	notes_placeholder
ethnicity	clinical_patient	baseline_clinical_field	candidate_but_review_needed	include_in_feature_set_v1	fixed_review_field_decision	Fixed review-field decision: keep ethnicity in baseline feature-set v1 because the saved profile missingness remains acceptable for first-pass baseline prep even though the non-missing distribution is near-constant. The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.159, distinct_non_missing_count=2, dominant_value_fraction=0.958).	[fill in during baseline feature-set v1 review]
gender	clinical_patient	baseline_clinical_field	candidate_but_review_needed	include_in_feature_set_v1	fixed_review_field_decision	Fixed review-field decision: keep gender in baseline feature-set v1 because it is complete and remains an explicitly retained baseline demographic field. The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.989).	[fill in during baseline feature-set v1 review]
her2_status_by_ihc	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.162, distinct_non_missing_count=4, dominant_value_fraction=0.614).	[fill in during baseline feature-set v1 review]
histological_type	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.001, distinct_non_missing_count=8, dominant_value_fraction=0.715).	[fill in during baseline feature-set v1 review]
history_other_malignancy	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.001, distinct_non_missing_count=2, dominant_value_fraction=0.938).	[fill in during baseline feature-set v1 review]
icd_10	clinical_patient	baseline_clinical_field	candidate_but_review_needed	exclude_from_feature_set_v1	fixed_review_field_decision	Fixed review-field decision: keep icd_10 out of baseline feature-set v1 because the saved profile shows a strongly dominant code distribution for this first-pass prep layer. The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=7, dominant_value_fraction=0.990).	[fill in during baseline feature-set v1 review]
icd_o_3_histology	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=22, dominant_value_fraction=0.709).	[fill in during baseline feature-set v1 review]
icd_o_3_site	clinical_patient	baseline_clinical_field	candidate_but_review_needed	exclude_from_feature_set_v1	fixed_review_field_decision	Fixed review-field decision: keep icd_o_3_site out of baseline feature-set v1 because the saved profile shows a strongly dominant site-code distribution for this first-pass prep layer. The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=6, dominant_value_fraction=0.991).	[fill in during baseline feature-set v1 review]
initial_pathologic_dx_year	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.002, distinct_non_missing_count=26, dominant_value_fraction=0.205).	[fill in during baseline feature-set v1 review]
lymph_nodes_examined_count	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.115, distinct_non_missing_count=42, dominant_value_fraction=0.119).	[fill in during baseline feature-set v1 review]
lymph_nodes_examined_he_count	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.153, distinct_non_missing_count=31, dominant_value_fraction=0.491).	[fill in during baseline feature-set v1 review]
margin_status	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.062, distinct_non_missing_count=3, dominant_value_fraction=0.893).	[fill in during baseline feature-set v1 review]
menopause_status	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.082, distinct_non_missing_count=4, dominant_value_fraction=0.700).	[fill in during baseline feature-set v1 review]
method_initial_path_dx	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.089, distinct_non_missing_count=7, dominant_value_fraction=0.606).	[fill in during baseline feature-set v1 review]
pr_status_by_ihc	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.046, distinct_non_missing_count=3, dominant_value_fraction=0.668).	[fill in during baseline feature-set v1 review]
race	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.087, distinct_non_missing_count=4, dominant_value_fraction=0.755).	[fill in during baseline feature-set v1 review]
surgical_procedure_first	clinical_patient	baseline_clinical_field	candidate_for_baseline_modeling_prep	include_in_feature_set_v1	auto_include_candidate_bucket	Auto-included because the saved baseline-profile output placed this field in candidate_for_baseline_modeling_prep. The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.050, distinct_non_missing_count=4, dominant_value_fraction=0.309).	[fill in during baseline feature-set v1 review]
clinical_patient__last_contact_days_to	clinical_patient	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.095, distinct_non_missing_count=649, dominant_value_fraction=0.059).	[fill in during baseline feature-set v1 review]
clinical_patient__new_tumor_event_dx_indicator	clinical_patient	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.822, distinct_non_missing_count=2, dominant_value_fraction=0.949).	[fill in during baseline feature-set v1 review]
clinical_patient__tumor_status	clinical_patient	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.114, distinct_non_missing_count=2, dominant_value_fraction=0.903).	[fill in during baseline feature-set v1 review]
clinical_patient__vital_status	clinical_patient	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.905).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__bcr_followup_barcode_json	clinical_follow_up_v4_0	followup_join_evidence_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Grouped follow-up join evidence is retained for audit traceability and linkage review only; it should stay out of first-pass baseline modeling prep (missing_like_fraction=0.436, distinct_non_missing_count=619, dominant_value_fraction=0.002).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__bcr_followup_uuid_json	clinical_follow_up_v4_0	followup_join_evidence_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Grouped follow-up join evidence is retained for audit traceability and linkage review only; it should stay out of first-pass baseline modeling prep (missing_like_fraction=0.436, distinct_non_missing_count=619, dominant_value_fraction=0.002).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__followup_lost_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.438, distinct_non_missing_count=8, dominant_value_fraction=0.750).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__last_contact_days_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.488, distinct_non_missing_count=492, dominant_value_fraction=0.027).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__new_tumor_event_dx_indicator_json	clinical_follow_up_v4_0	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.498, distinct_non_missing_count=9, dominant_value_fraction=0.753).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__tumor_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.464, distinct_non_missing_count=10, dominant_value_fraction=0.767).	[fill in during baseline feature-set v1 review]
clinical_follow_up_v4_0__vital_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.445, distinct_non_missing_count=5, dominant_value_fraction=0.773).	[fill in during baseline feature-set v1 review]
biospecimen_sample__bcr_patient_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
biospecimen_sample__bcr_sample_barcode_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
biospecimen_sample__bcr_sample_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	candidate_but_review_needed	exclude_from_feature_set_v1	excluded_non_feature_category	Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	[fill in during baseline feature-set v1 review]
