cohort_v1_build_id	exclusion_category	scope_level	source_table	entity_id	entity_value	reason	count_value	details
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_analyte	table_name	biospecimen_analyte	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	6315	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_slide	table_name	biospecimen_slide	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	1995	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_aliquot	table_name	biospecimen_aliquot	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	14538	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_protocol	table_name	biospecimen_protocol	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	6315	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_shipment_portion	table_name	biospecimen_shipment_portion	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	1064	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	excluded_child_biospecimen_table	table	biospecimen_diagnostic_slides	table_name	biospecimen_diagnostic_slides	The minimal cohort v1 stays at patient/case level and keeps biospecimen only through the sample anchor.	1142	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T202134Z	unmatched_source_case_submitter_id	case	source_metadata	case_submitter_id	TCGA-BH-A0B2	Source metadata includes this case submitter ID but clinical_patient remains the provisional patient universe.	1	Retained as an explicit audit mismatch note rather than appended to the cohort v1 cohort.
20260413T202134Z	left_unmatched_join_group	patient_rows	clinical_follow_up_v4_0	clinical_patient_without_followup_match	exact_uuid_barcode_join	These clinical_patient rows had no matching grouped follow-up evidence.	478	Count of clinical_patient rows with zero clinical_follow_up_v4_0 rows under the exact (bcr_patient_uuid, bcr_patient_barcode) rule.
20260413T202134Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	826d8224-55fe-48c7-a5fe-ad81ac1ebba3	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-E2-A1IP-01A"", ""TCGA-E2-A1IP-10A""]"
20260413T202134Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	e4321d99-ed3b-4fc8-b016-2ff47d93a064	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-AN-A0FE-01A"", ""TCGA-AN-A0FE-10A""]"
20260413T202134Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	51d991f6-d998-420e-9357-48736c9ea0c1	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-AN-A0FG-01A"", ""TCGA-AN-A0FG-10A""]"
20260413T202134Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	57a1604c-60b7-4b30-a75e-f70939532c5c	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	3	"Unmatched sample barcodes=[""TCGA-BH-A0B2-01A"", ""TCGA-BH-A0B2-10A"", ""TCGA-BH-A0B2-11A""]"
20260413T202134Z	excluded_biospecimen_sample_helper_field	field	biospecimen_sample	field_name	days_to_sample_procurement	biospecimen_sample helper fields are excluded from minimal cohort v1 because this build keeps only patient-linked sample anchor evidence.	1	Excluded by v1 execution spec; no sample-helper columns are emitted into minimal_cohort_v1.tsv.
20260413T202134Z	excluded_biospecimen_sample_helper_field	field	biospecimen_sample	field_name	method_of_sample_procurement	biospecimen_sample helper fields are excluded from minimal cohort v1 because this build keeps only patient-linked sample anchor evidence.	1	Excluded by v1 execution spec; no sample-helper columns are emitted into minimal_cohort_v1.tsv.
20260413T202134Z	excluded_biospecimen_sample_helper_field	field	biospecimen_sample	field_name	other_method_of_sample_procurement	biospecimen_sample helper fields are excluded from minimal cohort v1 because this build keeps only patient-linked sample anchor evidence.	1	Excluded by v1 execution spec; no sample-helper columns are emitted into minimal_cohort_v1.tsv.
20260413T202134Z	excluded_biospecimen_sample_helper_field	field	biospecimen_sample	field_name	sample_type	biospecimen_sample helper fields are excluded from minimal cohort v1 because this build keeps only patient-linked sample anchor evidence.	1	Excluded by v1 execution spec; no sample-helper columns are emitted into minimal_cohort_v1.tsv.
20260413T202134Z	excluded_biospecimen_sample_helper_field	field	biospecimen_sample	field_name	sample_type_id	biospecimen_sample helper fields are excluded from minimal cohort v1 because this build keeps only patient-linked sample anchor evidence.	1	Excluded by v1 execution spec; no sample-helper columns are emitted into minimal_cohort_v1.tsv.
20260413T202134Z	excluded_treatment_proxy_field	field	clinical_patient	field_name	history_neoadjuvant_treatment	Treatment proxy fields were left out of minimal cohort v1 so the build stays limited to baseline fields, endpoint candidates, and biospecimen sample anchor evidence.	1	Excluded by v1 execution spec; treatment harmonization remains out of scope.
20260413T202134Z	excluded_treatment_proxy_field	field	clinical_follow_up_v4_0	field_name	pharmaceutical_tx_adjuvant	Treatment proxy fields were left out of minimal cohort v1 so the build stays limited to baseline fields, endpoint candidates, and biospecimen sample anchor evidence.	1	Excluded by v1 execution spec; treatment harmonization remains out of scope.
20260413T202134Z	excluded_treatment_proxy_field	field	clinical_follow_up_v4_0	field_name	radiation_treatment_adjuvant	Treatment proxy fields were left out of minimal cohort v1 so the build stays limited to baseline fields, endpoint candidates, and biospecimen sample anchor evidence.	1	Excluded by v1 execution spec; treatment harmonization remains out of scope.
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-E2-A1IP-01A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=826d8224-55fe-48c7-a5fe-ad81ac1ebba3; bcr_sample_uuid=e92843db-568c-496a-bb91-b377b38e252b
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-E2-A1IP-10A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=826d8224-55fe-48c7-a5fe-ad81ac1ebba3; bcr_sample_uuid=e5125ea2-bcd8-4c45-a7bc-44ade05c7344
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-AN-A0FE-01A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=e4321d99-ed3b-4fc8-b016-2ff47d93a064; bcr_sample_uuid=ca92f9ad-c58e-41e9-a621-13bab969e94e
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-AN-A0FE-10A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=e4321d99-ed3b-4fc8-b016-2ff47d93a064; bcr_sample_uuid=6bcbf4ad-e641-484d-acd0-85beb6cd4baf
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-AN-A0FG-01A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=51d991f6-d998-420e-9357-48736c9ea0c1; bcr_sample_uuid=6408cd12-8623-4205-a757-bd6777a040f6
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-AN-A0FG-10A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=51d991f6-d998-420e-9357-48736c9ea0c1; bcr_sample_uuid=91e92294-b2c8-4732-998c-14e2b0d057a5
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-BH-A0B2-01A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=57a1604c-60b7-4b30-a75e-f70939532c5c; bcr_sample_uuid=d2b1e8d2-304a-43cf-afb9-e7c0a69fff03
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-BH-A0B2-10A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=57a1604c-60b7-4b30-a75e-f70939532c5c; bcr_sample_uuid=35071558-5a5f-450d-bbf0-6b5a3b481c2f
20260413T202134Z	unmatched_biospecimen_sample_row	sample_row	biospecimen_sample	bcr_sample_barcode	TCGA-BH-A0B2-11A	This biospecimen_sample row was not attached because its patient UUID is absent from the clinical_patient provisional patient universe.	1	bcr_patient_uuid=57a1604c-60b7-4b30-a75e-f70939532c5c; bcr_sample_uuid=e63ab9aa-2daf-4384-b60a-788050e5a8dc
