dry_run_build_id	exclusion_category	scope_level	source_table	entity_id	entity_value	reason	count_value	details
20260413T185911Z	excluded_child_biospecimen_table	table	biospecimen_slide	table_name	biospecimen_slide	The minimal dry-run cohort stays at patient/case level and keeps biospecimen only through the sample anchor.	1995	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T185911Z	excluded_child_biospecimen_table	table	biospecimen_aliquot	table_name	biospecimen_aliquot	The minimal dry-run cohort stays at patient/case level and keeps biospecimen only through the sample anchor.	14538	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T185911Z	excluded_child_biospecimen_table	table	biospecimen_protocol	table_name	biospecimen_protocol	The minimal dry-run cohort stays at patient/case level and keeps biospecimen only through the sample anchor.	6315	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T185911Z	excluded_child_biospecimen_table	table	biospecimen_shipment_portion	table_name	biospecimen_shipment_portion	The minimal dry-run cohort stays at patient/case level and keeps biospecimen only through the sample anchor.	1064	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T185911Z	excluded_child_biospecimen_table	table	biospecimen_diagnostic_slides	table_name	biospecimen_diagnostic_slides	The minimal dry-run cohort stays at patient/case level and keeps biospecimen only through the sample anchor.	1142	Child-layer or side-layer biospecimen table excluded from the row set.
20260413T185911Z	unmatched_source_case_submitter_id	case	source_metadata	case_submitter_id	TCGA-BH-A0B2	Source metadata includes this case submitter ID but clinical_patient remains the provisional patient universe.	1	Retained as an explicit audit mismatch note rather than appended to the dry-run cohort.
20260413T185911Z	left_unmatched_join_group	patient_rows	clinical_follow_up_v4_0	clinical_patient_without_followup_match	exact_uuid_barcode_join	These clinical_patient rows had no matching grouped follow-up evidence.	478	Count of clinical_patient rows with zero clinical_follow_up_v4_0 rows under the exact (bcr_patient_uuid, bcr_patient_barcode) rule.
20260413T185911Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	826d8224-55fe-48c7-a5fe-ad81ac1ebba3	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-E2-A1IP-01A"", ""TCGA-E2-A1IP-10A""]"
20260413T185911Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	e4321d99-ed3b-4fc8-b016-2ff47d93a064	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-AN-A0FE-01A"", ""TCGA-AN-A0FE-10A""]"
20260413T185911Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	51d991f6-d998-420e-9357-48736c9ea0c1	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	2	"Unmatched sample barcodes=[""TCGA-AN-A0FG-01A"", ""TCGA-AN-A0FG-10A""]"
20260413T185911Z	unmatched_biospecimen_patient_uuid	patient_uuid	biospecimen_sample	bcr_patient_uuid	57a1604c-60b7-4b30-a75e-f70939532c5c	biospecimen_sample contains this patient UUID but it is absent from clinical_patient.	3	"Unmatched sample barcodes=[""TCGA-BH-A0B2-01A"", ""TCGA-BH-A0B2-10A"", ""TCGA-BH-A0B2-11A""]"
