field_name	source_origin	field_category	value_container_type	non_missing_count	missing_like_fraction	distinct_non_missing_count	dominant_value_fraction	shortlist_bucket	shortlist_rule	shortlist_manual_review_priority	candidate_bucket	candidate_rule	excluded_reason	reason	needs_manual_review	notes_placeholder
her2_status_by_ihc	clinical_patient	baseline_clinical_field	scalar	919	0.162261	4	0.613711	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.162, distinct_non_missing_count=4, dominant_value_fraction=0.614).	no	[fill in during baseline profile v1 review]
histological_type	clinical_patient	baseline_clinical_field	scalar	1096	0.000912	8	0.715328	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.001, distinct_non_missing_count=8, dominant_value_fraction=0.715).	no	[fill in during baseline profile v1 review]
history_other_malignancy	clinical_patient	baseline_clinical_field	scalar	1096	0.000912	2	0.937956	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.001, distinct_non_missing_count=2, dominant_value_fraction=0.938).	no	[fill in during baseline profile v1 review]
icd_o_3_histology	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	22	0.709207	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=22, dominant_value_fraction=0.709).	no	[fill in during baseline profile v1 review]
initial_pathologic_dx_year	clinical_patient	baseline_clinical_field	scalar	1095	0.001823	26	0.205479	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.002, distinct_non_missing_count=26, dominant_value_fraction=0.205).	no	[fill in during baseline profile v1 review]
lymph_nodes_examined_count	clinical_patient	baseline_clinical_field	scalar	971	0.114859	42	0.119464	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.115, distinct_non_missing_count=42, dominant_value_fraction=0.119).	no	[fill in during baseline profile v1 review]
lymph_nodes_examined_he_count	clinical_patient	baseline_clinical_field	scalar	929	0.153145	31	0.490850	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.153, distinct_non_missing_count=31, dominant_value_fraction=0.491).	no	[fill in during baseline profile v1 review]
margin_status	clinical_patient	baseline_clinical_field	scalar	1029	0.061987	3	0.893100	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.062, distinct_non_missing_count=3, dominant_value_fraction=0.893).	no	[fill in during baseline profile v1 review]
menopause_status	clinical_patient	baseline_clinical_field	scalar	1007	0.082042	4	0.700099	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.082, distinct_non_missing_count=4, dominant_value_fraction=0.700).	no	[fill in during baseline profile v1 review]
method_initial_path_dx	clinical_patient	baseline_clinical_field	scalar	999	0.089335	7	0.605606	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.089, distinct_non_missing_count=7, dominant_value_fraction=0.606).	no	[fill in during baseline profile v1 review]
pr_status_by_ihc	clinical_patient	baseline_clinical_field	scalar	1047	0.045579	3	0.667622	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.046, distinct_non_missing_count=3, dominant_value_fraction=0.668).	no	[fill in during baseline profile v1 review]
race	clinical_patient	baseline_clinical_field	scalar	1002	0.086600	4	0.755489	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.087, distinct_non_missing_count=4, dominant_value_fraction=0.755).	no	[fill in during baseline profile v1 review]
surgical_procedure_first	clinical_patient	baseline_clinical_field	scalar	1042	0.050137	4	0.309021	usable_baseline	baseline_candidate_structured_core_field	low	candidate_for_baseline_modeling_prep	baseline_balanced_complete_variant		The retained baseline clinical field meets the balanced completeness and variation thresholds for first-pass baseline modeling prep (missing_like_fraction=0.050, distinct_non_missing_count=4, dominant_value_fraction=0.309).	no	[fill in during baseline profile v1 review]
ethnicity	clinical_patient	baseline_clinical_field	scalar	923	0.158614	2	0.957746	usable_baseline	baseline_candidate_structured_core_field	medium	candidate_but_review_needed	baseline_balanced_near_constant_review		The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.159, distinct_non_missing_count=2, dominant_value_fraction=0.958).	yes	[fill in during baseline profile v1 review]
gender	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	2	0.989061	usable_baseline	baseline_candidate_structured_core_field	low	candidate_but_review_needed	baseline_balanced_near_constant_review		The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.989).	yes	[fill in during baseline profile v1 review]
icd_10	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	7	0.989973	usable_baseline	baseline_candidate_structured_core_field	low	candidate_but_review_needed	baseline_balanced_near_constant_review		The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=7, dominant_value_fraction=0.990).	yes	[fill in during baseline profile v1 review]
icd_o_3_site	clinical_patient	baseline_clinical_field	scalar	1097	0.000000	6	0.990884	usable_baseline	baseline_candidate_structured_core_field	low	candidate_but_review_needed	baseline_balanced_near_constant_review		The retained baseline clinical field still varies, but its dominant category is unusually strong and should be reviewed before first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=6, dominant_value_fraction=0.991).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__bcr_followup_barcode_json	clinical_follow_up_v4_0	followup_join_evidence_field	json_array_cell	619	0.435734	619	0.001616				candidate_but_review_needed	followup_join_evidence_review_only		Grouped follow-up join evidence is retained for audit traceability and linkage review only; it should stay out of first-pass baseline modeling prep (missing_like_fraction=0.436, distinct_non_missing_count=619, dominant_value_fraction=0.002).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__bcr_followup_uuid_json	clinical_follow_up_v4_0	followup_join_evidence_field	json_array_cell	619	0.435734	619	0.001616				candidate_but_review_needed	followup_join_evidence_review_only		Grouped follow-up join evidence is retained for audit traceability and linkage review only; it should stay out of first-pass baseline modeling prep (missing_like_fraction=0.436, distinct_non_missing_count=619, dominant_value_fraction=0.002).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__followup_lost_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	json_array_cell	617	0.437557	8	0.750405				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.438, distinct_non_missing_count=8, dominant_value_fraction=0.750).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__last_contact_days_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	json_array_cell	562	0.487694	492	0.026690				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.488, distinct_non_missing_count=492, dominant_value_fraction=0.027).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__new_tumor_event_dx_indicator_json	clinical_follow_up_v4_0	endpoint_candidate_field	json_array_cell	551	0.497721	9	0.753176				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.498, distinct_non_missing_count=9, dominant_value_fraction=0.753).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__tumor_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	json_array_cell	588	0.463993	10	0.767007				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.464, distinct_non_missing_count=10, dominant_value_fraction=0.767).	yes	[fill in during baseline profile v1 review]
clinical_follow_up_v4_0__vital_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	json_array_cell	609	0.444850	5	0.773399				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.445, distinct_non_missing_count=5, dominant_value_fraction=0.773).	yes	[fill in during baseline profile v1 review]
clinical_patient__last_contact_days_to	clinical_patient	endpoint_candidate_field	scalar	993	0.094804	649	0.059416				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.095, distinct_non_missing_count=649, dominant_value_fraction=0.059).	yes	[fill in during baseline profile v1 review]
clinical_patient__new_tumor_event_dx_indicator	clinical_patient	endpoint_candidate_field	scalar	195	0.822242	2	0.948718				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.822, distinct_non_missing_count=2, dominant_value_fraction=0.949).	yes	[fill in during baseline profile v1 review]
clinical_patient__tumor_status	clinical_patient	endpoint_candidate_field	scalar	972	0.113947	2	0.903292				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.114, distinct_non_missing_count=2, dominant_value_fraction=0.903).	yes	[fill in during baseline profile v1 review]
clinical_patient__vital_status	clinical_patient	endpoint_candidate_field	scalar	1097	0.000000	2	0.905196				candidate_but_review_needed	endpoint_candidate_not_frozen_review		Endpoint candidate fields remain provisional because the endpoint freeze is still blocked; keep them out of first-pass baseline modeling prep (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.905).	yes	[fill in during baseline profile v1 review]
biospecimen_sample__bcr_patient_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	json_array_cell	1097	0.000000	1097	0.000912				candidate_but_review_needed	biospecimen_evidence_container_review_only		Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	yes	[fill in during baseline profile v1 review]
biospecimen_sample__bcr_sample_barcode_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	json_array_cell	1097	0.000000	1097	0.000912				candidate_but_review_needed	biospecimen_evidence_container_review_only		Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	yes	[fill in during baseline profile v1 review]
biospecimen_sample__bcr_sample_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	json_array_cell	1097	0.000000	1097	0.000912				candidate_but_review_needed	biospecimen_evidence_container_review_only		Biospecimen sample-anchor columns remain evidence containers for later review rather than direct first-pass baseline inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	yes	[fill in during baseline profile v1 review]
ambiguity_note_flags_json	workflow_derived	audit_id_field	json_array_cell	1097	0.000000	1	1.000000				exclude_for_now	audit_or_identifier_exclude	ambiguity_carried_forward	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
bcr_patient_barcode	clinical_patient	audit_id_field	scalar	1097	0.000000	1097	0.000912	unclear_manual_review	manual_identifier_admin	high	exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
bcr_patient_uuid	clinical_patient	audit_id_field	scalar	1097	0.000000	1097	0.000912	unclear_manual_review	manual_identifier_admin	high	exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
biospecimen_sample_match_row_count	biospecimen_sample	audit_id_field	scalar	1097	0.000000	3	0.913400				exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.913).	no	[fill in during baseline profile v1 review]
cohort_v1_build_id	workflow_derived	audit_id_field	scalar	1097	0.000000	1	1.000000				exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
followup_match_row_count	clinical_follow_up_v4_0	audit_id_field	scalar	1097	0.000000	4	0.481313				exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=4, dominant_value_fraction=0.481).	no	[fill in during baseline profile v1 review]
join_status_flags_json	workflow_derived	audit_id_field	json_array_cell	1097	0.000000	3	0.481313				exclude_for_now	audit_or_identifier_exclude	ambiguity_carried_forward	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=3, dominant_value_fraction=0.481).	no	[fill in during baseline profile v1 review]
provisional_patient_row_id	workflow_derived	audit_id_field	scalar	1097	0.000000	1097	0.000912				exclude_for_now	audit_or_identifier_exclude	identifier_only	Audit and identifier tracking fields are preserved for provenance and validation only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
baseline_analysis_v1_row_id	workflow_derived	derived_prep_flag	scalar	1097	0.000000	1097	0.000912				exclude_for_now	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1097, dominant_value_fraction=0.001).	no	[fill in during baseline profile v1 review]
row_has_biospecimen_sample_match	workflow_derived	derived_prep_flag	scalar	1097	0.000000	1	1.000000				exclude_for_now	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
row_has_both_patient_ids	workflow_derived	derived_prep_flag	scalar	1097	0.000000	1	1.000000				exclude_for_now	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
row_has_followup_match	workflow_derived	derived_prep_flag	scalar	1097	0.000000	2	0.564266				exclude_for_now	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=2, dominant_value_fraction=0.564).	no	[fill in during baseline profile v1 review]
row_missing_one_patient_id	workflow_derived	derived_prep_flag	scalar	1097	0.000000	1	1.000000				exclude_for_now	derived_flag_exclude	derived_flag_only	Derived prep flags are useful for audit coverage and review only; they are not direct first-pass baseline modeling inputs (missing_like_fraction=0.000, distinct_non_missing_count=1, dominant_value_fraction=1.000).	no	[fill in during baseline profile v1 review]
