field_name	source_origin	field_category	retained_in_baseline_analysis_v1	rationale	ambiguity_carried_forward	notes_placeholder
ajcc_pathologic_tumor_stage	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
ajcc_staging_edition	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
ajcc_tumor_pathologic_pt	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
anatomic_neoplasm_subdivision	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
axillary_staging_method	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
birth_days_to	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
er_status_by_ihc	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
ethnicity	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
gender	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
her2_status_by_ihc	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
histological_type	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
history_other_malignancy	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
icd_10	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
icd_o_3_histology	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
icd_o_3_site	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
initial_pathologic_dx_year	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
lymph_nodes_examined_count	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
lymph_nodes_examined_he_count	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
margin_status	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
menopause_status	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
method_initial_path_dx	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
pr_status_by_ihc	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
race	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
surgical_procedure_first	clinical_patient	baseline_clinical_field	yes	Include audited usable baseline covariates from clinical_patient exactly as accepted in the current blueprint required set.	[]	[fill in during baseline analysis v1 review]
clinical_patient__last_contact_days_to	clinical_patient	endpoint_candidate_field	yes	Carry patient-layer endpoint candidate values side by side with source-specific names and no endpoint collapse.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_patient__new_tumor_event_dx_indicator	clinical_patient	endpoint_candidate_field	yes	Carry patient-layer endpoint candidate values side by side with source-specific names and no endpoint collapse.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_patient__tumor_status	clinical_patient	endpoint_candidate_field	yes	Carry patient-layer endpoint candidate values side by side with source-specific names and no endpoint collapse.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_patient__vital_status	clinical_patient	endpoint_candidate_field	yes	Carry patient-layer endpoint candidate values side by side with source-specific names and no endpoint collapse.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__bcr_followup_barcode_json	clinical_follow_up_v4_0	followup_join_evidence_field	yes	Retain grouped follow-up barcodes as JSON-array join evidence for exact-key matched patient rows.	[]	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__bcr_followup_uuid_json	clinical_follow_up_v4_0	followup_join_evidence_field	yes	Retain grouped follow-up UUIDs as JSON-array join evidence for exact-key matched patient rows.	[]	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__followup_lost_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	yes	Carry grouped follow-up endpoint candidate values as JSON arrays and keep them source-specific.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__last_contact_days_to_json	clinical_follow_up_v4_0	endpoint_candidate_field	yes	Carry grouped follow-up endpoint candidate values as JSON arrays and keep them source-specific.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__new_tumor_event_dx_indicator_json	clinical_follow_up_v4_0	endpoint_candidate_field	yes	Carry grouped follow-up endpoint candidate values as JSON arrays and keep them source-specific.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__tumor_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	yes	Carry grouped follow-up endpoint candidate values as JSON arrays and keep them source-specific.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
clinical_follow_up_v4_0__vital_status_json	clinical_follow_up_v4_0	endpoint_candidate_field	yes	Carry grouped follow-up endpoint candidate values as JSON arrays and keep them source-specific.	"[""endpoint_overlap_fields_kept_side_by_side""]"	[fill in during baseline analysis v1 review]
biospecimen_sample__bcr_patient_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	yes	Retain grouped biospecimen_sample anchor evidence as JSON arrays without expanding beyond the sample layer.	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
biospecimen_sample__bcr_sample_barcode_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	yes	Retain grouped biospecimen_sample anchor evidence as JSON arrays without expanding beyond the sample layer.	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
biospecimen_sample__bcr_sample_uuid_json	biospecimen_sample	biospecimen_sample_anchor_evidence_field	yes	Retain grouped biospecimen_sample anchor evidence as JSON arrays without expanding beyond the sample layer.	"[""parallel_patient_identifiers_retained"", ""case_count_mismatch_carried_forward_1097_1098_1101"", ""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
days_to_sample_procurement	biospecimen_sample	excluded_biospecimen_sample_helper_field	no	Exclude optional biospecimen sample-helper fields because minimal cohort v1 keeps only the sample anchor evidence layer.	[]	[fill in during baseline analysis v1 review]
method_of_sample_procurement	biospecimen_sample	excluded_biospecimen_sample_helper_field	no	Exclude optional biospecimen sample-helper fields because minimal cohort v1 keeps only the sample anchor evidence layer.	[]	[fill in during baseline analysis v1 review]
other_method_of_sample_procurement	biospecimen_sample	excluded_biospecimen_sample_helper_field	no	Exclude optional biospecimen sample-helper fields because minimal cohort v1 keeps only the sample anchor evidence layer.	[]	[fill in during baseline analysis v1 review]
sample_type	biospecimen_sample	excluded_biospecimen_sample_helper_field	no	Exclude optional biospecimen sample-helper fields because minimal cohort v1 keeps only the sample anchor evidence layer.	[]	[fill in during baseline analysis v1 review]
sample_type_id	biospecimen_sample	excluded_biospecimen_sample_helper_field	no	Exclude optional biospecimen sample-helper fields because minimal cohort v1 keeps only the sample anchor evidence layer.	[]	[fill in during baseline analysis v1 review]
history_neoadjuvant_treatment	clinical_patient	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_tx_adjuvant	clinical_follow_up_v4_0	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_treatment_adjuvant	clinical_follow_up_v4_0	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_therapy_drug_name	clinical_drug	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_therapy_type	clinical_drug	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_tx_ended_days_to	clinical_drug	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_tx_ongoing_indicator	clinical_drug	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
pharmaceutical_tx_started_days_to	clinical_drug	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_adjuvant_units	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_therapy_ended_days_to	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_therapy_ongoing_indicator	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_therapy_site	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_therapy_started_days_to	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_therapy_type	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
radiation_total_dose	clinical_radiation	excluded_treatment_field	no	Exclude treatment proxy/detail fields from minimal cohort v1 to avoid unsupported patient-level treatment harmonization or aggregation.	"[""treatment_detail_rows_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
death_days_to	clinical_follow_up_v4_0	excluded_sparse_timing_field	no	Exclude sparse death and progression timing fields from minimal cohort v1 and carry them forward only as unresolved endpoint audit evidence.	"[""sparse_timing_fields_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
days_to_patient_progression_free	clinical_patient	excluded_sparse_timing_field	no	Exclude sparse death and progression timing fields from minimal cohort v1 and carry them forward only as unresolved endpoint audit evidence.	"[""sparse_timing_fields_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
days_to_tumor_progression	clinical_patient	excluded_sparse_timing_field	no	Exclude sparse death and progression timing fields from minimal cohort v1 and carry them forward only as unresolved endpoint audit evidence.	"[""sparse_timing_fields_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
death_days_to	clinical_patient	excluded_sparse_timing_field	no	Exclude sparse death and progression timing fields from minimal cohort v1 and carry them forward only as unresolved endpoint audit evidence.	"[""sparse_timing_fields_excluded_from_minimal_build""]"	[fill in during baseline analysis v1 review]
bcr_aliquot_barcode	biospecimen_aliquot	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_aliquot_uuid	biospecimen_aliquot	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_aliquot	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_aliquot	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
biospecimen_barcode_bottom	biospecimen_aliquot	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
analyte_type	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
analyte_type_id	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_analyte_barcode	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_analyte_uuid	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
subportion_sequence	biospecimen_analyte	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_barcode	biospecimen_diagnostic_slides	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_diagnostic_slides	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_diagnostic_slides	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
ffpe_slide_uuid	biospecimen_diagnostic_slides	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_portion_barcode	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_portion_uuid	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
portion_number	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
portion_sequence	biospecimen_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_analyte_barcode	biospecimen_protocol	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_protocol	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_protocol	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
pathology_report_uuid	biospecimen_sample	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_shipment_portion_uuid	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
portion_number	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
portion_sequence	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
shipment_portion_bcr_aliquot_barcode	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
shipment_portion_day_of_shipment	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
shipment_portion_month_of_shipment	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
shipment_portion_year_of_shipment	biospecimen_shipment_portion	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_patient_uuid	biospecimen_slide	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_sample_barcode	biospecimen_slide	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_slide_barcode	biospecimen_slide	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
bcr_slide_uuid	biospecimen_slide	excluded_child_biospecimen_field	no	Exclude deferred non-sample biospecimen fields from minimal cohort v1 because child and side-layer expansion remains out of scope.	"[""biospecimen_child_layer_expansion_deferred""]"	[fill in during baseline analysis v1 review]
baseline_analysis_v1_row_id	workflow_derived	derived_prep_flag	yes	Assign a sequential row id after sorting by provisional_patient_row_id for review-only referencing.	no	[fill in during baseline analysis v1 review]
row_has_followup_match	workflow_derived	derived_prep_flag	yes	Derive a reversible yes/no flag from followup_match_row_count > 0 without changing source values.	no	[fill in during baseline analysis v1 review]
row_has_biospecimen_sample_match	workflow_derived	derived_prep_flag	yes	Derive a reversible yes/no flag from biospecimen_sample_match_row_count > 0 without changing source values.	no	[fill in during baseline analysis v1 review]
row_has_both_patient_ids	workflow_derived	derived_prep_flag	yes	Derive a reversible yes/no flag when both patient identifiers are present in the retained row.	no	[fill in during baseline analysis v1 review]
row_missing_one_patient_id	workflow_derived	derived_prep_flag	yes	Derive a reversible yes/no flag when exactly one of the retained patient identifiers is missing-like.	no	[fill in during baseline analysis v1 review]
